Date	Type	Stock Symbol	Quantity	Price	Total Amount
2019-01-10	buy	COLM	10.0	80.9	809.0
2018-12-31	buy	VFC	12.0	68.2	818.4
2018-12-26	sell	MSFT	9.0	98.0	882.0
2018-12-24	buy	GE	250.0	7.65	1912.5
2018-12-24	buy	MSFT	9.0	102.8	925.2
2018-12-17	buy	COST	10.0	205.15	2051.5
2018-11-28	buy	VFC	35.0	79.74	2790.9
2018-11-23	buy	AMZN	1.0	1431.2	1431.2
2018-11-23	buy	COLM	30.0	87.11	2613.3
2018-11-23	buy	NVDA	8.0	140.64	1125.12
2018-11-19	buy	NVDA	12.0	155.32	1863.84
2018-11-13	buy	VTI	8.0	140.41	1123.28
2018-12-24	buy	VTI	10.0	121.64	1216.4
2018-12-20	buy	VTI	15.0	126.0	1890.0
2018-12-20	buy	VTI	20.0	127.76	2555.2
2018-12-17	buy	VTI	11.0	131.735	1449.08
2018-11-20	buy	VTI	15.0	135.73	2035.95
2018-11-16	buy	NVDA	10.0	164.39	1643.9
2018-11-13	buy	IBM	12.0	121.8	1461.6
2018-11-08	buy	NVDA	7.0	204.65	1432.55
2018-11-08	buy	GOOG	5.0	1075.3	5376.5
2018-06-26	sell	NVDA	15.0	243.45	3651.75
2018-06-25	sell	GE	170.0	13.04	2216.8
2018-06-25	sell	GOOG	3.0	1143.67	3431.01
2018-06-25	sell	TMUS	70.0	60.53	4237.1
2018-06-06	sell	TCEHY	120.0	54.68	6561.6
2018-05-11	sell	GOOGL	2.0	1105.68	2211.36
2018-04-13	sell	NVDA	10.0	237.15	2371.5
2018-02-05	sell	YELP	130.0	44.33	5762.9
2018-01-18	buy	IBM	30.0	169.45	5083.5
2017-06-07	buy	GOOGL	2.0	1001.5	2003.0
2017-07-11	buy	GE	170.0	26.025	4424.25
2017-12-04	buy	TCEHY	120.0	49.56	5947.2
2016-07-18	buy	TMUS	70.0	44.17	3091.9
2017-02-27	buy	YELP	170.0	34.15	5805.5
2017-03-23	buy	GOOG	3.0	825.0	2475.0
2016-07-18	buy	NVDA	60.0	53.04	3182.4
2018-09-13	buy	VWAGY	360.0	16.25	5850.0
2017-09-07	sell	YELP	40.0	42.93	1717.2
2017-06-05	sell	NVDA	20.0	143.0	2860.0
2019-01-15	sell	COLM	10.0	84.4	844.0
2019-01-15	sell	VTI	8.0	134.6	1076.8
2019-01-29	buy	CLAR	300.0	10.69	3207.0
2017-12-11	sell	COST	20.0	188.21	3764.2
2017-10-06	buy	COST	10.0	156.79	1567.9
2017-06-16	buy	COST	10.0	166.92	1669.2
2017-03-24	sell	AMZN	7.0	851.68	5961.76
2016-06-24	sell	AMZN	4.0	702.37	2809.48
2015-08-28	buy	AMZN	2.0	517.5	1035.0
2012-02-16	sell	AMZN	16.0	178.85	2861.6
2012-09-17	buy	AMZN	7.0	259.47	1816.29
2011-11-29	buy	AMZN	10.0	189.62	1896.2
2012-02-01	buy	AMZN	6.0	175.82	1054.92
2014-02-04	buy	COST	14.0	110.9	1552.6
2012-05-10	buy	COST	20.0	83.4	1668.0
2019-02-13	buy	TRIP	40.0	56.95	2278.0
2019-02-14	sell	NVDA	8.0	154.4	1235.2
2019-02-15	sell	VTI	10.0	142.5	1425.0
2016-02-11	buy	AMZN	2.0	499.29	998.58
