Date	AAPL	AMZN	CLAR	COLM	COST	DAL	DNKN	FSLR	GE	GOOG	GOOGL	IBM	MSFT	NFLX	NVDA	TCEHY	TMUS	TRIP	VFC	VTI	VWAGY	YELP
2010-01-04	30.572857	133.899994	4.22	19.625	59.41	11.22		135.46000700000002	14.855769	311.34997599999997	313.68869	132.449997	30.950001	7.64	18.49		15.94		18.344998999999998	57.310001	10.75	
2010-01-05	30.625713	134.690002	4.2	19.610001	59.23	12.1		137.399994	14.932692999999999	309.978882	312.307312	130.850006	30.959999	7.358572000000001	18.76	4.452	15.98		18.695	57.529999	10.825	
2010-01-06	30.138571000000002	132.25	4.22	20.25	60.0	12.11		140.020004	14.855769	302.164703	304.434448	130.0	30.77	7.6171429999999996	18.879998999999998	4.482	14.9		18.620001000000002	57.610001000000004	10.75	
2010-01-07	30.082857	130.0	4.37	20.584999	59.709998999999996	12.69		140.479996	15.625	295.13046299999996	297.347351	129.550003	30.450001	7.485714	18.51	4.3	15.04		18.98	57.849998	11.0	
2010-01-08	30.282858	133.520004	4.5	20.450001	59.279999	12.47		139.679993	15.961538000000001	299.06487999999996	301.31131	130.850006	30.66	7.614286	18.549999	4.358	14.2		18.879998999999998	58.040001000000004	11.225	
2010-01-11	30.015715000000004	130.309998	4.35	20.440001000000002	59.349998	12.79		138.240005	16.115385	298.612823	300.855865	129.479996	30.27	7.604286	18.290001	4.444	14.38		18.8225	58.119999	11.2	
2010-01-12	29.674286	127.349998	4.4	20.385	59.029999	12.54		132.979996	16.125	293.332153	295.535522	130.509995	30.07	7.481428999999999	17.67	4.366	12.7		18.625	57.52	11.025	
2010-01-13	30.092857000000002	129.110001	4.4	20.59	59.400002	12.85		132.119995	16.182692000000003	291.648102	293.838837	130.229996	30.35	7.708571000000001	17.91	4.45	12.66		18.785	58.060001	10.925	
2010-01-14	29.918571000000004	127.349998	4.41	20.635	58.720001	13.17		124.839996	16.057692000000003	293.019196	295.220215	132.309998	30.959999	7.284286	17.629998999999998	4.488	12.46		18.76	58.16	10.8	
2010-01-15	29.418571000000004	127.139999	4.42	21.475	58.790001000000004	12.74		124.07	15.807692999999999	288.12600699999996	290.290283	131.779999	30.860001	7.2785720000000005	17.110001	4.51	12.64		18.655001000000002	57.5	10.75	
2010-01-19	30.719998999999998	127.610001	4.48	21.360001	58.950001	13.03		123.940002	15.903846	291.911407	294.10409500000003	134.139999	31.1	7.314286	17.43	4.224	12.8		18.7875	58.259997999999996	10.425	
